구,연월,거주인구,지하철_승객_수,버스승객수,발생건수,사망자수,부상자수,평균기온,평균최고기온,극점최고기온,평균최저기온,극점최저기온,강수량,평균습도,최저습도,해면기압,이슬점온도,평균운량,일조시간,최심신적설,평균풍속,최대풍속,최대순간풍속
강남구,2005-01,,,,,,,-2.5,1.5,7.3,-6.2,-11.0,4.5,52.0,12.0,1023.2,-11.9,2.7,191.5,1.4,2.4,7.5,15.1
강남구,2005-02,,,,,,,-1.9,2.2,10.5,-5.5,-13.1,17.2,49.0,15.0,1024.5,-12.2,3.5,177.8,1.9,2.8,11.0,22.5
강남구,2005-03,,,,,,,4.1,8.8,17.6,0.2,-6.5,12.5,54.0,13.0,1019.6,-5.1,3.8,221.9,4.9,2.9,9.5,16.7
강남구,2005-04,,,,,,,13.2,18.1,29.8,8.9,4.1,94.7,53.0,9.0,1014.0,2.9,4.3,199.5,0.0,3.0,10.4,18.0
강남구,2005-05,,,,,,,17.7,22.9,30.2,13.0,6.3,85.8,55.0,8.0,1010.4,7.4,4.1,235.3,0.0,2.4,9.3,15.1
강남구,2005-06,,,,,,,22.7,27.3,32.0,19.1,15.5,168.5,69.0,26.0,1005.7,16.4,6.3,138.3,0.0,2.4,8.8,15.3
강남구,2005-07,,,,,,,25.3,28.8,34.2,22.7,18.3,269.4,76.0,44.0,1006.2,20.7,7.2,79.4,0.0,2.2,8.0,12.6
강남구,2005-08,,,,,,,25.1,28.7,35.0,22.4,16.5,285.0,75.0,30.0,1008.5,20.3,6.9,103.1,0.0,2.6,8.2,15.0
강남구,2005-09,,,,,,,21.8,25.7,30.8,18.6,13.8,313.3,71.0,30.0,1015.2,16.0,6.4,113.7,0.0,2.3,8.4,15.3
강남구,2005-10,,,,,,,14.7,19.4,24.9,10.7,3.0,52.6,65.0,17.0,1020.0,7.7,3.4,200.0,0.0,1.7,5.4,11.1
강남구,2005-11,,,,,,,8.6,12.9,21.8,4.6,-1.1,44.6,55.0,10.0,1020.6,-0.6,2.9,172.5,0.0,2.2,8.4,16.8
강남구,2005-12,,,,,,,-3.9,-0.1,11.1,-7.4,-14.0,10.3,51.0,18.0,1025.2,-13.6,2.2,204.1,7.6,2.5,7.6,15.8
강남구,2006-01,,,,,,,-0.2,3.4,9.3,-3.3,-10.1,34.3,57.0,18.0,1025.4,-8.6,4.0,161.1,1.5,2.1,6.1,12.1
강남구,2006-02,,,,,,,0.1,4.2,11.5,-4.0,-14.1,15.7,53.0,12.0,1025.9,-9.6,4.3,172.6,7.0,2.6,8.1,15.6
강남구,2006-03,,,,,,,5.2,9.9,17.2,0.9,-6.9,14.0,51.0,8.0,1016.9,-5.4,4.2,201.9,2.8,2.9,10.9,20.2
강남구,2006-04,,,,,,,11.6,16.2,22.2,7.7,2.9,51.8,55.0,10.0,1011.0,2.0,5.9,136.0,0.0,3.0,9.1,16.8
강남구,2006-05,,,,,,,18.4,23.4,28.3,14.0,10.8,156.2,57.0,13.0,1012.1,9.0,5.2,199.1,0.0,2.5,8.6,14.6
강남구,2006-06,,,,,,,21.8,26.3,32.4,18.1,14.1,168.5,68.0,21.0,1007.1,15.1,6.1,155.8,0.0,2.2,8.0,13.5
강남구,2006-07,,,,,,,23.1,26.0,30.1,20.9,17.5,1014.0,82.0,43.0,1006.1,19.8,8.7,34.3,0.0,2.3,9.2,16.0
강남구,2006-08,,,,,,,27.0,31.1,34.7,23.9,20.8,121.2,69.0,34.0,1008.4,20.6,5.4,177.1,0.0,2.1,7.6,16.2
강남구,2006-09,,,,,,,21.1,25.7,30.3,16.9,11.3,11.1,58.0,19.0,1014.8,12.1,4.7,195.7,0.0,2.1,7.1,13.8
강남구,2006-10,,,,,,,17.9,22.6,27.5,13.9,7.9,30.2,62.0,11.0,1018.8,10.2,3.2,185.2,0.0,2.0,8.5,17.1
강남구,2006-11,,,,,,,8.4,12.4,20.2,4.5,-1.3,47.6,58.0,14.0,1020.1,-0.1,4.3,153.5,0.2,2.4,8.1,15.6
강남구,2006-12,,,,,,,1.4,5.4,12.6,-2.0,-12.3,17.3,59.0,16.0,1026.7,-6.4,3.7,159.4,9.0,2.1,7.2,14.3
강남구,2007-01,,,,,,,0.4,4.1,11.8,-2.8,-7.6,10.8,56.0,18.0,1026.5,-7.8,3.5,181.9,7.5,2.0,8.0,15.5
강남구,2007-02,,,,,,,4.0,8.7,14.8,0.1,-8.6,12.6,53.0,13.0,1021.3,-5.6,3.3,171.5,0.0,2.3,8.6,14.8
강남구,2007-03,,,,,,,6.1,10.3,16.2,2.3,-7.6,123.5,60.0,15.0,1018.1,-1.9,5.2,147.1,1.6,2.7,10.0,18.2
강남구,2007-04,,,,,,,11.4,16.1,22.5,7.5,1.6,41.1,53.0,14.0,1016.0,1.2,4.8,191.8,0.0,2.8,9.4,18.7
강남구,2007-05,,,,,,,18.1,23.4,30.1,13.6,9.0,137.6,62.0,17.0,1007.8,10.0,5.5,197.3,0.0,2.6,8.7,17.6
강남구,2007-06,,,,,,,23.2,27.7,33.2,19.2,14.1,54.5,61.0,13.0,1008.4,14.3,6.1,175.2,0.0,2.3,6.9,11.8
강남구,2007-07,,,,,,,24.2,27.8,31.2,21.3,17.7,274.1,75.0,35.0,1004.5,19.2,7.6,91.5,0.0,2.4,7.3,16.1
강남구,2007-08,,,,,,,26.5,29.9,33.2,23.8,19.8,237.6,75.0,23.0,1008.4,21.5,6.9,105.7,0.0,2.6,9.9,18.7
강남구,2007-09,,,,,,,21.5,25.1,31.1,18.6,14.1,241.9,74.0,36.0,1012.4,16.6,7.3,85.1,0.0,2.5,8.0,13.8
강남구,2007-10,,,,,,,15.1,19.6,26.2,11.3,3.2,39.5,63.0,13.0,1019.7,7.7,4.9,170.9,0.0,2.1,8.0,14.5
강남구,2007-11,,,,,,,6.7,11.4,19.3,2.8,-5.5,26.4,55.0,15.0,1023.8,-2.3,3.1,188.5,1.7,2.2,7.7,14.8
강남구,2007-12,,,,,,,1.8,5.4,13.8,-1.4,-7.4,12.7,60.0,24.0,1022.7,-5.5,4.0,140.8,0.8,2.4,8.5,15.6
강남구,2008-01,570959.0,,,,,,-1.7,1.9,7.3,-5.0,-11.1,17.7,50.0,13.0,1026.5,-11.9,4.5,166.5,6.1,2.3,6.9,12.8
강남구,2008-02,570959.0,,,,,,-1.2,3.2,10.5,-4.9,-10.1,15.0,46.0,12.0,1025.1,-12.6,2.3,224.2,5.5,2.7,8.4,13.8
강남구,2008-03,570959.0,,,,,,7.3,11.9,19.8,3.7,-1.7,53.9,56.0,10.0,1018.4,-1.8,4.2,187.3,1.0,2.6,8.3,12.8
강남구,2008-04,570755.0,,,,,,14.1,19.5,28.0,9.3,3.8,38.5,50.0,11.0,1015.2,2.8,4.6,208.1,0.0,2.7,10.9,19.7
강남구,2008-05,570755.0,,,,,,17.7,22.7,28.5,13.1,8.1,97.7,58.0,10.0,1010.2,8.2,4.8,213.8,0.0,2.7,8.7,16.6
강남구,2008-06,570755.0,,,,,,21.5,26.1,29.6,17.6,13.7,165.0,65.0,23.0,1009.1,14.0,6.5,173.8,0.0,2.7,7.5,12.5
강남구,2008-07,569327.0,,,,,,25.1,28.4,32.9,22.6,20.2,530.8,78.0,45.0,1007.0,20.8,8.2,78.7,0.0,2.4,7.9,15.1
강남구,2008-08,569327.0,,,,,,25.3,29.5,35.4,21.8,16.3,251.2,69.0,29.0,1007.5,18.8,5.4,196.6,0.0,2.5,8.6,15.9
강남구,2008-09,569327.0,,,,,,22.0,26.9,32.0,18.0,10.3,99.2,64.0,18.0,1013.3,14.2,5.2,184.6,0.0,1.9,6.6,11.5
강남구,2008-10,565624.0,,,,,,16.1,21.0,28.3,12.1,5.6,41.8,62.0,22.0,1018.7,8.1,3.9,185.1,0.0,2.0,7.2,12.6
강남구,2008-11,565624.0,,,,,,7.6,11.7,18.4,3.8,-7.2,19.6,58.0,9.0,1022.1,-0.8,4.3,169.7,0.0,2.2,8.4,15.7
강남구,2008-12,565624.0,,,,,,1.1,5.0,13.3,-2.7,-13.1,25.9,56.0,16.0,1023.6,-7.2,4.3,157.0,2.8,2.5,8.2,14.6
강남구,2009-01,568035.0,,,,,,-2.0,2.3,12.2,-5.5,-11.4,5.7,50.0,14.0,1025.5,-11.6,2.5,210.6,5.1,2.5,8.1,15.1
강남구,2009-02,568035.0,,,,,,2.9,6.8,16.1,-0.6,-8.6,36.9,57.0,12.0,1020.6,-5.5,5.3,125.6,1.3,2.5,11.9,20.1
강남구,2009-03,568035.0,,,,,,6.0,10.6,22.2,1.8,-3.3,63.9,52.0,13.0,1019.3,-4.2,4.4,202.7,0.3,3.1,8.8,18.1
강남구,2009-04,568573.0,,,,,,12.7,18.0,25.8,8.1,2.2,66.5,54.0,13.0,1015.2,2.4,4.1,204.5,0.0,2.6,8.6,14.4
강남구,2009-05,568573.0,,,,,,19.1,24.3,31.0,14.6,9.8,109.0,59.0,15.0,1011.9,9.4,4.3,240.2,0.0,2.5,8.2,12.8
강남구,2009-06,568573.0,,,,,,22.4,26.7,32.4,18.8,14.3,132.0,66.0,18.0,1004.8,15.0,5.4,181.0,0.0,2.5,8.8,15.3
강남구,2009-07,569960.0,,,,,,24.3,28.2,32.4,21.0,18.7,659.4,76.0,36.0,1004.9,19.4,6.7,115.8,0.0,2.3,10.4,16.8
강남구,2009-08,569960.0,,,,,,25.7,29.5,34.4,22.4,16.4,285.3,69.0,24.0,1008.6,19.1,5.6,150.9,0.0,2.2,7.1,13.1
강남구,2009-09,569960.0,,,,,,21.8,26.3,29.9,17.7,14.4,64.5,64.0,23.0,1013.6,14.1,4.0,201.6,0.0,1.8,6.5,10.4
강남구,2009-10,569499.0,,,,,,16.0,20.9,26.4,11.7,6.2,66.9,62.0,23.0,1016.6,8.0,2.5,236.3,0.0,2.1,9.7,17.2
강남구,2009-11,569499.0,,,,,,6.9,10.4,21.8,3.7,-4.3,52.4,64.0,19.0,1023.6,0.0,5.1,130.1,0.0,2.5,6.8,12.3
강남구,2009-12,569499.0,,,,,,-1.0,2.5,10.1,-4.2,-12.9,21.5,60.0,15.0,1022.9,-8.3,3.8,146.1,2.6,2.5,8.3,15.9
강남구,2010-01,570913.0,,,,,,-4.5,-0.7,8.4,-8.1,-15.3,29.3,65.0,26.0,1024.6,-10.5,3.7,167.9,25.8,2.3,6.9,11.5
강남구,2010-02,570913.0,,,,,,1.4,4.9,17.9,-1.7,-10.8,55.3,59.0,14.0,1021.1,-6.1,4.8,141.2,7.1,2.4,6.6,12.3
강남구,2010-03,570913.0,,,,,,4.3,8.1,14.2,0.5,-4.0,82.5,59.0,13.0,1020.1,-3.9,6.2,133.0,7.6,2.9,10.2,16.7
강남구,2010-04,570163.0,,,,,,9.5,14.0,20.7,5.6,1.1,62.8,54.0,12.0,1017.8,-0.4,5.2,166.3,0.0,2.9,10.9,17.2
강남구,2010-05,570163.0,,,,,,17.2,22.0,28.6,13.0,5.8,124.0,62.0,21.0,1010.7,8.9,5.4,178.5,0.0,2.6,9.9,16.2
강남구,2010-06,570163.0,,,,,,23.4,28.2,32.7,19.3,12.1,127.6,62.0,12.0,1009.3,14.6,5.0,203.0,0.0,2.1,6.0,9.9
강남구,2010-07,569512.0,,,,,,25.8,29.3,32.3,23.1,21.0,239.2,74.0,32.0,1007.3,20.3,7.4,89.8,0.0,2.5,7.9,12.3
강남구,2010-08,569512.0,,,,,,26.5,30.0,33.8,23.8,19.9,598.7,78.0,26.0,1010.0,21.9,7.6,96.5,0.0,2.4,10.7,16.2
강남구,2010-09,569512.0,,,,,,21.8,26.0,31.4,18.5,8.4,671.5,72.0,25.0,1013.2,16.0,5.9,146.4,0.0,2.3,14.0,21.6
강남구,2010-10,577070.0,,,,,,14.5,19.3,24.2,10.4,0.7,25.6,61.0,14.0,1019.0,6.5,3.7,194.6,0.0,2.2,8.1,14.0
강남구,2010-11,577070.0,,,,,,6.5,11.3,17.4,2.5,-5.2,10.9,55.0,11.0,1021.2,-2.6,3.4,180.3,1.3,2.8,10.5,18.0
강남구,2010-12,577070.0,,,,,,-1.3,3.1,13.5,-5.1,-15.1,16.1,56.0,17.0,1018.0,-9.4,4.1,157.8,9.4,3.0,9.1,14.4
강남구,2011-01,576453.0,,,,,,-7.2,-3.4,0.3,-10.5,-17.8,8.9,54.0,19.0,1027.3,-15.3,2.7,218.5,6.0,2.8,8.0,14.4
강남구,2011-02,576453.0,,,,,,1.2,5.9,13.2,-2.5,-9.2,29.1,55.0,15.0,1022.1,-7.6,4.0,166.6,0.2,2.6,10.6,17.4
강남구,2011-03,576453.0,,,,,,3.6,8.3,16.8,-0.1,-5.5,14.6,51.0,12.0,1021.4,-6.6,3.3,240.2,1.8,3.4,9.9,15.4
강남구,2011-04,577205.0,,,,,,10.7,15.6,19.0,6.8,4.3,110.1,54.0,10.0,1014.1,0.3,4.7,202.1,0.0,3.2,9.5,16.4
강남구,2011-05,577205.0,,,,,,17.9,23.0,31.2,13.6,8.5,53.4,56.0,15.0,1010.7,7.9,5.6,180.4,0.0,2.8,9.7,16.4
강남구,2011-06,577205.0,,,,,,22.0,26.6,32.9,18.4,14.4,404.5,67.0,19.0,1006.5,14.6,6.1,170.8,0.0,2.9,10.9,19.0
강남구,2011-07,576409.0,,,,,,24.6,28.0,34.1,22.0,18.9,1131.0,79.0,30.0,1005.7,20.3,8.0,80.4,0.0,2.4,9.3,16.7
강남구,2011-08,576409.0,,,,,,25.8,29.5,34.1,23.0,18.1,166.8,74.0,30.0,1008.3,20.5,7.5,94.0,0.0,2.5,9.4,15.6
강남구,2011-09,576409.0,,,,,,21.8,26.6,32.4,17.7,10.3,25.6,58.0,13.0,1012.8,12.5,4.5,180.4,0.0,2.4,7.6,15.0
강남구,2011-10,573003.0,,,,,,14.2,19.3,23.4,9.7,3.1,32.0,55.0,15.0,1020.3,4.3,3.8,215.3,0.0,2.1,7.1,13.6
강남구,2011-11,573003.0,,,,,,10.7,14.7,25.9,7.2,-5.5,56.2,60.0,14.0,1022.7,2.8,6.0,129.5,0.0,2.7,9.7,16.1
강남구,2011-12,573003.0,,,,,,-0.9,2.9,9.1,-4.1,-10.6,7.1,50.0,15.0,1027.6,-10.5,3.9,195.6,1.2,2.6,7.7,13.3
강남구,2012-01,570824.0,,,,,,-2.8,1.3,8.4,-6.3,-12.2,6.7,48.9,12.0,1026.1,-12.8,3.6,190.5,6.2,2.5,7.5,12.6
강남구,2012-02,570824.0,,,,,,-2.0,3.0,12.1,-6.0,-17.1,0.8,43.2,11.0,1024.0,-13.8,3.4,224.9,0.3,2.9,8.1,12.5
강남구,2012-03,570824.0,,,,,,5.1,9.5,16.2,1.5,-5.7,47.4,51.8,9.0,1019.5,-5.1,5.2,191.8,0.0,3.5,10.2,18.0
강남구,2012-04,569048.0,,,,,,12.3,17.9,29.4,7.8,0.6,157.0,54.1,9.0,1013.0,1.9,4.6,212.5,0.0,3.4,12.0,20.0
강남구,2012-05,569048.0,,,,,,19.7,25.1,29.3,15.4,12.0,8.2,48.2,11.0,1011.0,7.4,4.3,251.3,0.0,2.7,8.6,15.7
강남구,2012-06,569048.0,,,,,,24.1,29.7,33.5,20.0,16.3,91.9,54.1,21.0,1007.0,13.5,5.4,232.0,0.0,2.8,9.1,19.2
강남구,2012-07,568685.0,,,,,,25.4,29.0,33.2,22.4,18.5,448.9,73.8,38.0,1005.6,20.1,7.4,144.0,0.0,2.7,7.7,15.2
강남구,2012-08,568685.0,,,,,,27.1,30.9,36.7,23.9,18.7,464.9,68.0,31.0,1008.2,20.2,6.8,158.7,0.0,3.0,13.7,24.0
강남구,2012-09,568685.0,,,,,,21.0,25.0,29.5,17.4,12.0,212.0,65.2,26.0,1013.5,13.6,5.6,190.8,0.0,2.3,11.5,20.4
강남구,2012-10,569997.0,,,,,,15.3,20.5,26.0,11.0,2.8,99.3,58.2,14.0,1018.2,6.4,3.6,235.4,0.0,2.3,7.2,12.6
강남구,2012-11,569997.0,,,,,,5.5,9.5,15.7,1.8,-3.0,67.8,57.2,15.0,1019.3,-2.9,4.5,181.1,0.0,2.7,9.3,19.0
강남구,2012-12,569997.0,,,,,,-4.1,-0.5,8.3,-7.4,-14.5,41.4,57.0,17.0,1024.6,-11.8,3.5,193.6,7.8,2.7,8.8,14.3
강남구,2013-01,568982.0,,,,,,-3.4,0.3,11.5,-6.6,-16.4,22.1,57.1,21.0,1026.4,-11.1,4.3,167.7,4.9,2.7,8.2,13.5
강남구,2013-02,568982.0,,,,,,-1.2,2.8,13.9,-4.9,-15.8,74.1,53.6,15.0,1025.1,-10.3,4.7,187.2,9.0,2.9,8.4,14.8
강남구,2013-03,568982.0,,,,,,5.1,10.8,23.8,0.7,-4.4,27.3,49.2,8.0,1017.9,-5.7,3.3,256.3,0.0,3.0,8.8,15.4
강남구,2013-04,567637.0,,,,,,10.0,15.0,21.6,5.7,1.3,71.7,54.0,12.0,1012.9,-0.1,5.0,213.2,0.0,3.4,9.9,17.7
강남구,2013-05,567637.0,,,,,,18.2,23.6,31.8,13.7,7.9,132.0,57.8,11.0,1011.5,8.6,4.7,238.1,0.0,2.9,8.5,11.6
강남구,2013-06,567637.0,,,,,,24.4,29.2,32.6,20.5,16.3,28.3,60.1,15.0,1007.7,15.4,5.4,224.0,0.0,2.2,6.2,10.4
강남구,2013-07,569191.0,,,,,,25.5,28.3,31.3,23.4,20.5,676.2,79.3,40.0,1005.0,21.4,8.5,101.0,0.0,3.4,10.9,18.0
강남구,2013-08,569191.0,,,,,,27.7,31.1,33.9,24.8,21.1,148.6,69.3,28.0,1006.5,21.1,6.2,217.9,0.0,2.8,9.9,15.6
강남구,2013-09,569191.0,,,,,,21.8,25.9,31.1,18.0,10.9,138.5,62.9,16.0,1014.9,13.6,5.5,191.0,0.0,2.2,6.2,11.0
강남구,2013-10,569152.0,,,,,,15.8,21.2,28.1,10.9,4.3,13.5,59.0,19.0,1020.2,7.0,2.9,249.9,0.0,2.5,8.5,14.8
강남구,2013-11,569152.0,,,,,,6.2,10.7,20.7,2.1,-6.4,46.8,58.0,18.0,1020.2,-2.1,3.9,188.0,0.0,2.7,12.6,20.0
강남구,2013-12,569152.0,,,,,,-0.2,3.5,11.0,-3.5,-9.8,24.7,60.0,20.0,1022.2,-7.3,4.0,184.4,4.4,2.4,8.3,13.2
강남구,2014-01,570701.0,,,,,,-0.7,3.5,8.2,-4.9,-10.5,13.0,50.0,13.0,1025.2,-10.7,3.4,184.4,5.3,2.4,7.8,14.8
강남구,2014-02,570701.0,,,,,,1.9,6.6,16.4,-1.8,-10.5,16.2,52.0,16.0,1025.3,-7.7,4.0,163.9,5.8,2.7,7.4,12.1
강남구,2014-03,570701.0,,,,,,7.9,13.1,23.8,3.5,-4.6,7.2,60.0,16.0,1019.6,-0.2,3.9,214.7,1.9,3.0,9.1,15.5
강남구,2014-04,574226.0,,,,,,14.0,19.6,26.2,9.4,2.3,31.0,60.0,15.0,1017.0,5.1,4.7,213.2,0.0,2.8,9.3,18.4
강남구,2014-05,574226.0,,,,,,18.9,25.3,33.3,13.8,6.8,63.0,59.0,18.0,1010.4,9.8,3.2,304.0,0.0,3.2,11.1,16.3
강남구,2014-06,574226.0,,,,,,23.1,27.8,31.1,19.7,17.3,98.1,73.0,32.0,1006.2,17.5,6.7,184.9,0.0,2.6,8.3,14.2
강남구,2014-07,579102.0,,,,,,26.1,30.6,34.4,22.9,19.1,207.9,74.0,27.0,1006.9,20.7,6.8,172.7,0.0,2.8,10.8,18.2
강남구,2014-08,579102.0,,,,,,25.2,29.0,35.8,22.1,18.3,172.8,77.0,32.0,1008.0,20.4,7.1,150.7,0.0,2.4,9.3,15.7
강남구,2014-09,579102.0,,,,,,22.1,27.0,31.3,18.0,14.9,88.1,69.0,22.0,1013.2,15.3,4.9,214.3,0.0,2.1,7.1,11.7
강남구,2014-10,583446.0,,,,,,15.6,21.4,29.0,10.7,2.7,52.2,63.0,15.0,1019.7,7.8,3.3,239.8,0.0,2.4,9.0,17.7
강남구,2014-11,583446.0,,,,,,9.0,13.8,22.9,4.9,-3.1,41.5,60.9,18.0,1021.5,1.1,4.3,194.1,0.0,2.5,8.7,16.6
강남구,2014-12,583446.0,,,,,,-2.9,1.5,7.9,-6.7,-13.2,17.9,56.0,21.0,1024.5,-10.9,3.4,195.6,3.5,2.8,11.1,19.3
강남구,2015-01,583699.0,,,,,,-0.9,3.6,9.0,-4.8,-9.8,11.3,56.0,22.0,1024.7,-9.0,3.9,193.3,5.1,2.6,7.7,13.0
강남구,2015-02,583699.0,,,,,,1.0,6.0,13.0,-2.9,-13.0,22.7,59.0,17.0,1022.2,-6.8,4.5,180.0,0.3,2.9,8.5,14.5
강남구,2015-03,583699.0,,,,,,6.3,12.4,21.9,1.0,-6.9,9.6,45.0,9.0,1021.3,-6.0,2.8,270.8,0.0,3.1,9.1,16.3
강남구,2015-04,581256.0,,,,,,13.3,18.8,28.3,8.4,3.5,80.5,55.0,11.0,1015.8,2.9,5.0,216.0,0.0,3.1,10.4,16.4
강남구,2015-05,581256.0,,,,,,18.9,24.9,32.2,13.6,8.3,28.9,53.0,12.0,1009.4,7.5,4.1,290.4,0.0,3.0,11.1,17.2
강남구,2015-06,581256.0,,,,,,23.6,29.5,34.9,18.9,15.6,99.0,60.0,13.0,1006.7,14.4,5.6,258.1,0.0,2.5,7.8,14.4
강남구,2015-07,582109.0,,,,,,25.8,30.0,36.0,22.6,18.2,226.0,71.0,28.0,1006.5,19.6,7.0,176.1,0.0,2.8,8.0,14.4
강남구,2015-08,582109.0,,,,,,26.3,30.8,34.4,22.8,18.9,72.9,70.0,29.0,1008.2,19.9,5.6,207.0,0.0,2.4,8.1,14.2
강남구,2015-09,582109.0,,,,,,22.4,28.1,31.0,17.5,14.2,26.0,56.0,15.0,1014.0,12.4,3.8,262.1,0.0,2.3,6.7,12.7
강남구,2015-10,581760.0,,,,,,15.5,21.2,26.6,10.8,1.1,81.5,61.0,17.0,1018.4,7.1,2.8,239.7,0.0,2.3,8.6,16.0
강남구,2015-11,581760.0,,,,,,8.9,12.7,19.8,5.9,-7.3,104.6,74.0,23.0,1023.4,4.0,6.6,109.0,0.0,2.7,7.7,13.2
강남구,2015-12,581760.0,,,,,,1.6,6.0,12.2,-2.1,-9.5,29.1,60.0,19.0,1025.6,-5.9,4.1,177.8,6.5,2.3,8.0,16.8
강남구,2016-01,578862.0,,,,,,-3.2,1.1,9.5,-6.8,-18.0,1.0,53.0,17.0,1025.5,-12.0,4.0,196.1,0.5,2.5,9.0,15.1
강남구,2016-02,578862.0,,,,,,0.2,5.1,14.4,-4.1,-10.0,47.6,52.0,16.0,1024.2,-9.4,3.7,195.2,5.0,2.8,7.6,14.4
강남구,2016-03,578862.0,,,,,,7.0,12.6,21.4,2.4,-7.5,40.5,51.0,15.0,1021.5,-3.5,3.6,253.7,0.0,2.4,7.1,12.7
강남구,2016-04,576413.0,,,,,,14.1,20.3,29.6,9.1,5.1,76.8,55.0,13.0,1013.3,3.6,4.8,219.5,0.0,2.4,8.0,16.7
강남구,2016-05,576413.0,,,,,,19.6,25.7,31.9,14.1,8.9,160.5,56.0,10.0,1011.3,9.1,4.6,280.1,0.0,2.4,8.7,18.0
강남구,2016-06,576413.0,,,,,,23.6,28.7,32.2,19.5,17.1,54.4,63.0,21.0,1007.4,15.5,5.3,229.7,0.0,2.1,6.8,10.5
강남구,2016-07,574974.0,,,,,,26.2,29.8,34.1,23.3,19.8,358.2,73.0,37.0,1007.5,20.6,7.2,160.4,0.0,2.1,6.1,11.2
강남구,2016-08,574974.0,,,,,,28.0,32.6,36.6,24.5,16.1,67.1,64.0,27.0,1005.6,20.0,4.6,236.1,0.0,2.1,7.3,13.6
강남구,2016-09,574974.0,,,,,,23.1,27.9,31.1,19.3,14.3,33.0,65.0,26.0,1013.2,15.5,5.8,191.6,0.0,2.0,8.1,15.7
강남구,2016-10,572140.0,,,,,,16.1,21.3,29.0,11.6,0.7,74.8,62.0,13.0,1019.2,8.2,5.3,195.7,0.0,2.1,6.3,12.8
강남구,2016-11,572140.0,,,,,,6.8,11.6,18.6,2.8,-6.2,16.7,57.0,19.0,1023.2,-1.8,4.7,173.3,0.8,2.2,6.1,9.8
강남구,2016-12,572140.0,,,,,,1.2,5.8,13.6,-2.7,-9.8,61.1,59.0,16.0,1025.0,-6.4,4.7,166.4,1.0,2.2,7.2,12.9
강남구,2017-01,570500.0,,,302.0,2.0,464.0,-1.8,2.9,11.4,-5.8,-12.6,14.9,55.0,17.0,1025.6,-10.3,3.5,209.0,6.6,2.3,7.0,13.1
강남구,2017-02,570500.0,,,256.0,1.0,366.0,-0.2,4.8,12.3,-4.7,-9.3,11.1,54.0,18.0,1023.5,-9.2,2.8,210.0,0.0,2.5,7.8,12.3
강남구,2017-03,570500.0,,,296.0,3.0,433.0,6.3,12.3,18.9,1.7,-5.3,7.9,48.0,15.0,1019.6,-4.9,3.9,255.2,0.0,2.4,8.5,17.9
강남구,2017-04,568425.0,,,275.0,1.0,388.0,13.9,20.0,27.8,9.1,3.1,61.6,52.0,10.0,1012.8,2.9,4.4,259.7,0.0,2.6,8.1,15.6
강남구,2017-05,568425.0,,,281.0,1.0,405.0,19.5,25.4,30.3,14.4,10.0,16.1,52.0,7.0,1012.0,8.3,3.9,301.5,0.0,2.4,8.5,15.7
강남구,2017-06,568425.0,,,299.0,2.0,423.0,23.3,28.8,34.1,18.7,14.5,66.6,57.0,14.0,1008.2,13.1,4.7,285.2,0.0,2.4,6.4,12.1
강남구,2017-07,565731.0,,,296.0,0.0,423.0,26.9,30.4,35.4,24.3,21.9,621.0,77.0,38.0,1007.2,22.2,7.9,123.1,0.0,2.0,7.3,13.3
강남구,2017-08,565731.0,,,287.0,1.0,401.0,25.9,29.7,35.3,22.9,16.1,297.0,71.0,19.0,1007.4,19.7,7.0,166.2,0.0,2.3,7.7,15.3
강남구,2017-09,565731.0,,,282.0,5.0,390.0,22.1,27.4,31.4,17.5,11.2,35.0,61.0,20.0,1013.0,13.6,4.2,233.7,0.0,2.0,6.8,12.1
강남구,2017-10,561052.0,,,270.0,2.0,387.0,16.4,22.5,29.4,11.6,2.5,26.5,56.0,16.0,1020.9,7.0,4.5,222.7,0.0,1.9,7.6,12.9
강남구,2017-11,561052.0,,,302.0,1.0,410.0,5.6,10.5,18.4,1.3,-6.6,40.7,54.0,13.0,1023.0,-3.9,4.2,163.9,1.5,2.1,6.7,13.0
강남구,2017-12,561052.0,,,323.0,0.0,469.0,-1.9,2.2,8.7,-5.7,-12.3,34.8,56.0,14.0,1026.0,-10.3,3.9,176.1,5.1,1.8,6.7,14.2
강남구,2018-01,557865.0,,,316.0,1.0,456.0,-4.0,0.1,8.7,-7.3,-17.8,8.5,48.0,16.0,1024.6,-13.9,4.3,186.7,3.5,1.9,7.2,12.2
강남구,2018-02,557865.0,,,249.0,1.0,369.0,-1.6,3.3,10.4,-5.9,-13.4,29.6,45.0,13.0,1023.8,-13.0,3.9,194.2,3.7,2.2,6.3,12.2
강남구,2018-03,557865.0,,,278.0,3.0,393.0,8.1,13.6,22.1,3.8,-6.7,49.5,59.0,13.0,1020.3,-0.2,5.2,209.1,0.0,1.9,6.9,12.8
강남구,2018-04,551888.0,,,283.0,1.0,411.0,13.0,18.5,26.3,8.1,0.1,130.3,55.0,8.0,1015.6,2.6,4.7,223.4,0.0,2.0,8.8,15.9
강남구,2018-05,551888.0,,,288.0,0.0,404.0,18.2,23.3,29.6,13.4,6.9,222.0,63.0,22.0,1011.2,10.1,5.4,231.6,0.0,1.7,8.0,13.4
강남구,2018-06,551888.0,,,288.0,0.0,436.0,23.1,28.4,32.9,18.9,16.3,171.5,63.0,19.0,1007.6,14.9,5.9,236.6,0.0,1.7,5.7,10.5
